@context,@type,name,description,url,offers,gtin13,brand.@type,brand.name,brand.image,brand.url,aggregateRating.@type,aggregateRating.ratingValue,aggregateRating.reviewCount,image,sku,category,weight,color
https://schema.org,Product,Sonet 24 Pack - Women's,"Grab the Gregory Sonet 24 pack on your way to work or class and know you'll arrive in comfort. It includes a laptop sleeve, internal organization for small items and a wicking, women-specific harness.",https://www.rei.com/rei-garage/product/183377/gregory-sonet-24-pack-womens,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833770001', 'sku': '1833770001', 'price': '38.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833770002', 'sku': '1833770002', 'price': '38.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833770003', 'sku': '1833770003', 'price': '38.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]","['0190207037135', '0190207037142', '0190207037159']",Brand,Gregory,https://satchel.rei.com/media/img/brand-logos/497.gif,https://www.rei.com/rei-garage/b/gregory,AggregateRating,4.2,5,,,,,
https://schema.org,Product,Proxy 45 Pack - Women's,"Built for active travel, the women's Gregory Proxy 45 pack boasts a full-surround Gear Guard and women-specific suspension. It also keeps your trail gear separate behind the ActiveShield divider.",https://www.rei.com/rei-garage/product/190118/gregory-proxy-45-pack-womens,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1901180001', 'sku': '1901180001', 'price': '58.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1901180002', 'sku': '1901180002', 'price': '58.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition'}]","['0419011800019', '0419011800026']",Brand,Gregory,https://satchel.rei.com/media/img/brand-logos/497.gif,https://www.rei.com/rei-garage/b/gregory,AggregateRating,4.8,6,,,,,
https://schema.org,Product,Flash 22 Pack,"Yes, you can hike ultralight and still be comfy. The 13 oz. REI Co-op Flash 22 pack is hydration-compatible, boasts a removable hipbelt and sternum strap, and its back is padded for comfort.",https://www.rei.com/product/185564/rei-co-op-flash-22-pack,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1855640003', 'url': 'https://www.rei.com/product/185564/rei-co-op-flash-22-pack', 'priceValidUntil': '2022-02-18', 'sku': '1855640003', 'price': '54.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1855640004', 'url': 'https://www.rei.com/product/185564/rei-co-op-flash-22-pack', 'priceValidUntil': '2022-02-18', 'sku': '1855640004', 'price': '39.93', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1855640005', 'url': 'https://www.rei.com/product/185564/rei-co-op-flash-22-pack', 'priceValidUntil': '2022-02-18', 'sku': '1855640005', 'price': '39.93', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1855640006', 'url': 'https://www.rei.com/product/185564/rei-co-op-flash-22-pack', 'priceValidUntil': '2022-02-18', 'sku': '1855640006', 'price': '39.93', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1855640001', 'url': 'https://www.rei.com/product/185564/rei-co-op-flash-22-pack', 'priceValidUntil': '2022-02-18', 'sku': '1855640001', 'price': '39.93', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1855640002', 'url': 'https://www.rei.com/product/185564/rei-co-op-flash-22-pack', 'priceValidUntil': '2022-02-18', 'sku': '1855640002', 'price': '39.93', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}]","['0418556400036', '0418556400043', '0418556400050', '0418556400067', '0418556400012', '0418556400029']",Brand,REI Co-op,https://satchel.rei.com/media/img/brand-logos/959.gif,https://www.rei.com/b/rei-co-op,AggregateRating,4.5,774,https://www.rei.com/media/product/185564,185564,Daypacks,13 ounces,"['Black', 'Briarsmoke', 'Castlerock', 'Deep Marine', 'Rustic Gold']"
https://schema.org,Product,Anode 30 Pack - Men's,"Put all you need for an afternoon expedition in the spacious main compartment of the Gregory Anode 30 pack, knowing that your laptop and other accessories are safely tucked away in custom pockets. ",https://www.rei.com/rei-garage/product/183372/gregory-anode-30-pack-mens,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833720001', 'sku': '1833720001', 'price': '57.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833720002', 'sku': '1833720002', 'price': '57.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833720003', 'sku': '1833720003', 'price': '57.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]","['0190207016895', '0190207016901', '0190207016918']",Brand,Gregory,https://satchel.rei.com/media/img/brand-logos/497.gif,https://www.rei.com/rei-garage/b/gregory,AggregateRating,4.8,13,,,,,
https://schema.org,Product,Exode 26 Pack - Men's,"The Gregory Exode 26 pack hauls all the gear that won't fit in your pockets, offering internal organization for small items, a padded laptop sleeve and channeled padding on the back panel and harness.",https://www.rei.com/rei-garage/product/183376/gregory-exode-26-pack-mens,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833760001', 'sku': '1833760001', 'price': '48.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833760002', 'sku': '1833760002', 'price': '48.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1833760003', 'sku': '1833760003', 'price': '48.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]","['0190207036138', '0190207036145', '0190207036152']",Brand,Gregory,https://satchel.rei.com/media/img/brand-logos/497.gif,https://www.rei.com/rei-garage/b/gregory,AggregateRating,5.0,4,,,,,
https://schema.org,Product,15L Commuter Pack,"With space for everything you need without the extra bulk, the lightweight, minimal United By Blue 15L Commuter pack offers a hassle-free everyday carry. Plus, it's made from recycled plastic bottles.",https://www.rei.com/rei-garage/product/208041/united-by-blue-15l-commuter-pack,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2080410001', 'sku': '2080410001', 'price': '49.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]",['0192900077692'],Brand,United By Blue,,https://www.rei.com/rei-garage/b/united-by-blue,,,,,,,,
https://schema.org,Product,Aircontact Lite 65 + 10 Pack - Men's,"The Deuter Aircontact Lite 65 + 10 pack balances reliable comfort, lightweight construction and ventilation. Vari-Quick back length adjustment and loads of features make it a do-it-all trekking pack.",https://www.rei.com/product/127753/deuter-aircontact-lite-65-10-pack-mens,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1277530002', 'url': 'https://www.rei.com/product/127753/deuter-aircontact-lite-65-10-pack-mens', 'priceValidUntil': '2022-02-18', 'sku': '1277530002', 'price': '220.00', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1277530001', 'url': 'https://www.rei.com/product/127753/deuter-aircontact-lite-65-10-pack-mens', 'priceValidUntil': '2022-02-18', 'sku': '1277530001', 'price': '153.93', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1277530004', 'url': 'https://www.rei.com/product/127753/deuter-aircontact-lite-65-10-pack-mens', 'priceValidUntil': '2022-02-18', 'sku': '1277530004', 'price': '153.93', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1277530003', 'url': 'https://www.rei.com/product/127753/deuter-aircontact-lite-65-10-pack-mens', 'priceValidUntil': '2022-02-18', 'sku': '1277530003', 'price': '153.93', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}]",[],Brand,Deuter,https://satchel.rei.com/media/img/brand-logos/343.gif,https://www.rei.com/b/deuter,AggregateRating,4.7,42,https://www.rei.com/media/product/127753,127753,Backpacking Packs,4 lbs. 6 oz.,['Arctic/teal']
https://schema.org,Product,Esker Pack,"With 28 liters of load-bearing capacity, the Granite Gear Esker pack holds your goods, plus some. Even better, it's comfortable, thanks to the ergonomic, raised foam back panel with lumbar support.",https://www.rei.com/rei-garage/product/206845/granite-gear-esker-pack,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2068450001', 'sku': '2068450001', 'price': '55.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2068450002', 'sku': '2068450002', 'price': '55.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/OutOfStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2068450003', 'sku': '2068450003', 'price': '55.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2068450004', 'sku': '2068450004', 'price': '55.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2068450005', 'sku': '2068450005', 'price': '55.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]","['0782922308265', '0782922308272', '0782922308289', '0782922308296', '0782922308302']",Brand,Granite Gear,https://satchel.rei.com/media/img/brand-logos/493.gif,https://www.rei.com/rei-garage/b/granite-gear,,,,,,,,
https://schema.org,Product,Cloudburst 15 Pack,"A simple yet functional bag for countless outdoor and watersports activities, the Exped Cloudburst 15 merges a waterproof dry bag with a lightweight backpack that packs down small when not needed.",https://www.rei.com/rei-garage/product/210060/exped-cloudburst-15-pack,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2100600001', 'sku': '2100600001', 'price': '50.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2100600002', 'sku': '2100600002', 'price': '50.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2100600003', 'sku': '2100600003', 'price': '50.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/2100600004', 'sku': '2100600004', 'price': '50.73', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition'}]","['7640120116842', '7640147768543', '7640171993713', '7640147768505']",Brand,Exped,,https://www.rei.com/rei-garage/b/exped,,,,,,,,
https://schema.org,Product,Trail 25 Pack - Women's,"Light and comfy on your back, the women's REI Co-op Trail 25 pack holds plenty of gear and keeps it well organized for day hikes, commuting and carry-on travel.",https://www.rei.com/product/168486/rei-co-op-trail-25-pack-womens,"[{'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684860003', 'url': 'https://www.rei.com/product/168486/rei-co-op-trail-25-pack-womens', 'priceValidUntil': '2022-02-18', 'sku': '1684860003', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684860001', 'url': 'https://www.rei.com/product/168486/rei-co-op-trail-25-pack-womens', 'priceValidUntil': '2022-02-18', 'sku': '1684860001', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}, {'@type': 'Offer', 'image': 'https://www.rei.com/media/product/1684860002', 'url': 'https://www.rei.com/product/168486/rei-co-op-trail-25-pack-womens', 'priceValidUntil': '2022-02-18', 'sku': '1684860002', 'price': '79.95', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock', 'itemCondition': 'https://schema.org/NewCondition', 'availableDeliveryMethod': ['https://schema.org/ParcelService'], 'seller': {'@type': 'Organization', 'name': 'REI Co-op'}}]","['0416848600034', '0416848600010', '0416848600027']",Brand,REI Co-op,https://satchel.rei.com/media/img/brand-logos/959.gif,https://www.rei.com/b/rei-co-op,AggregateRating,4.7,108,https://www.rei.com/media/product/168486,168486,Daypacks,1 lb. 15 oz.,"['Black', 'Frosted Meadow', 'Rust Marsala']"
